Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.2,RMSprop,{'lr': 0.001},0.54048583,0.307692308,0.525547445,0.388140162,0.064345491,0.008068304,72,234,130
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.001},0.686234818,0.35,0.153284672,0.21319797,0.060357441,0.008054594,21,60,33
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",0.05,RMSprop,{'lr': 0.01},0.433198381,0.316195373,0.897810219,0.467680608,0.16710853,0.008029817,123,389,220
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.05,Adam,{'lr': 0.01},0.655870445,0.361344538,0.313868613,0.3359375,0.105719602,0.008018445,43,119,79
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 3}",0.05,RMSprop,{'lr': 0.001},0.651821862,0.323232323,0.233576642,0.271186441,0.051334083,0.007978407,32,99,53
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 2}",0.05,Adam,{'lr': 0.001},0.643724696,0.290322581,0.197080292,0.234782609,0.013978684,0.007963899,27,93,51
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.15,RMSprop,{'lr': 0.001},0.633603239,0.34057971,0.343065693,0.341818182,0.087967008,0.007944845,47,138,81
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",0.4,Adam,{'lr': 0.01},0.708502024,0.294117647,0.03649635,0.064935065,0.007080127,0.007933245,5,17,10
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 2}",0.2,RMSprop,{'lr': 0.001},0.574898785,0.284023669,0.350364964,0.31372549,0.010785304,0.007888337,48,169,86
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.01},0.406882591,0.311594203,0.941605839,0.468239564,0.174122357,0.007875915,129,414,237
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 512}",0.4,RMSprop,{'lr': 0.001},0.516194332,0.315217391,0.635036496,0.421307506,0.095230754,0.007848319,87,276,155
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.637651822,0.358108108,0.386861314,0.371929825,0.11801308,0.0078256,53,148,82
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.694331984,0.28125,0.065693431,0.106508876,0.002305692,0.007806287,9,32,19
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 32}",0.15,RMSprop,{'lr': 0.001},0.714574899,0.357142857,0.03649635,0.066225166,0.03044809,0.007661375,5,14,8
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 1024}",0.3,Adam,{'lr': 0.001},0.591093117,0.284768212,0.313868613,0.298611111,0.011027144,0.007630365,43,151,84
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",0.2,RMSprop,{'lr': 0.01},0.578947368,0.299435028,0.386861314,0.337579618,0.036899561,0.007629375,53,177,113
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.1,Adam,{'lr': 0.001},0.461538462,0.32231405,0.854014599,0.468,0.167274101,0.007618821,117,363,205
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.4,Adam,{'lr': 0.01},0.700404858,0.296296296,0.058394161,0.097560976,0.010187927,0.007598996,8,27,18
MLP,"{'dropout_rate': 0.3, 'hidden_dim': 1024}",0.4,Adam,{'lr': 0.001},0.71659919,0.285714286,0.01459854,0.027777778,0.002245898,0.007542243,2,7,5
CNN1D,"{'dropout_rate': 0.3, 'hidden_dim': 64}",0.2,RMSprop,{'lr': 0.001},0.704453441,0.378378378,0.102189781,0.16091954,0.064226394,0.007527007,14,37,19
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",0.3,Adam,{'lr': 0.01},0.639676113,0.34351145,0.328467153,0.335820896,0.088810583,0.007522982,45,131,78
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 3}",0.4,Adam,{'lr': 0.001},0.495951417,0.294117647,0.583941606,0.391198044,0.041512966,0.007493251,80,272,159
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.01},0.370445344,0.301369863,0.96350365,0.459130435,0.150191338,0.007470318,132,438,244
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.2,RMSprop,{'lr': 0.01},0.510121457,0.328990228,0.737226277,0.454954955,0.147861333,0.007434056,101,307,181
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.05,RMSprop,{'lr': 0.01},0.465587045,0.297124601,0.678832117,0.413333333,0.058151039,0.007363001,93,313,162
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.1,Adam,{'lr': 0.001},0.645748988,0.268292683,0.160583942,0.200913242,-0.00900391,0.007344745,22,82,49
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 128}",1.627659574,RMSprop,{'lr': 0.001},0.487854251,0.323170732,0.773722628,0.455913978,0.14394167,0.007312692,106,328,180
MLP,"{'dropout_rate': 0.1, 'hidden_dim': 256}",0.4,Adam,{'lr': 0.01},0.546558704,0.301369863,0.481751825,0.370786517,0.047924496,0.007289359,66,219,113
MLP,"{'dropout_rate': 0.1, 'hidden_dim': 1024}",0.15,RMSprop,{'lr': 0.001},0.643724696,0.270588235,0.167883212,0.207207207,-0.006863109,0.007282203,23,85,50
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.15,RMSprop,{'lr': 0.001},0.680161943,0.343283582,0.167883212,0.225490196,0.058359022,0.00725631,23,67,42
MLP,"{'dropout_rate': 0.1, 'hidden_dim': 512}",0.4,Adam,{'lr': 0.001},0.710526316,0.25,0.02189781,0.040268456,-0.009631778,0.007227581,3,12,6
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 2}",0.3,RMSprop,{'lr': 0.001},0.576923077,0.3125,0.437956204,0.364741641,0.062643724,0.007222186,60,192,108
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 2}",0.4,RMSprop,{'lr': 0.001},0.601214575,0.282608696,0.284671533,0.283636364,0.007344184,0.007175751,39,138,79
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",0.1,Adam,{'lr': 0.001},0.714574899,0.409090909,0.065693431,0.113207547,0.063542791,0.007168617,9,22,13
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 2}",0.05,RMSprop,{'lr': 0.001},0.508097166,0.320945946,0.693430657,0.438799076,0.119127403,0.007155287,95,296,166
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.4,Adam,{'lr': 0.001},0.510121457,0.323232323,0.700729927,0.442396313,0.12590178,0.007149329,96,297,163
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.001},0.392712551,0.306413302,0.941605839,0.462365591,0.156022314,0.007148741,129,421,233
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 3}",0.05,Adam,{'lr': 0.01},0.633603239,0.284313725,0.211678832,0.242677824,0.007959855,0.007137579,29,102,59
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",0.2,RMSprop,{'lr': 0.001},0.718623482,0.444444444,0.058394161,0.103225806,0.072591319,0.007113565,8,18,11
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",0.15,Adam,{'lr': 0.01},0.556680162,0.24691358,0.291970803,0.267558528,-0.047456929,0.007105926,40,162,89
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.05,RMSprop,{'lr': 0.001},0.41902834,0.303664921,0.846715328,0.447013487,0.108647892,0.00704753,116,382,212
